"Date",High (kg),Low (kg),Close (kg),,High (troy oz),Low (troy oz),Close (troy oz),
"00:00:00 27-May-2024",76003.64,74424.72,75719.35,,2363.98,2314.87,2355.14,
"00:00:00 17-May-2024",78769.01,74774.04,75145.38,,2449.99,2325.73,2337.28,
"00:00:00 07-May-2024",77073.54,74081.11,76452.87,,2397.26,2304.18,2377.95,
"00:00:00 27-Apr-2024",75440.36,73232.01,74785.21,,2346.46,2277.77,2326.08,
"00:00:00 17-Apr-2024",77715.35,73682.44,75169.17,,2417.22,2291.78,2338.02,
"00:00:00 07-Apr-2024",78167.63,74051.21,76600.20,,2431.29,2303.25,2382.53,
"00:00:00 28-Mar-2024",74922.49,70329.20,74916.54,,2330.35,2187.48,2330.16,
"00:00:00 18-Mar-2024",71440.16,69001.53,70436.58,,2222.04,2146.19,2190.82,
"00:00:00 08-Mar-2024",70572.42,69150.87,69338.71,,2195.05,2150.83,2156.67,
"00:00:00 27-Feb-2024",69580.81,65093.29,69512.00,,2164.21,2024.63,2162.06,
"00:00:00 17-Feb-2024",65630.20,64662.22,65310.79,,2041.33,2011.22,2031.39,
"00:00:00 07-Feb-2024",65733.41,63806.13,64732.31,,2044.54,1984.59,2013.40,
"00:00:00 28-Jan-2024",66402.79,64783.35,65435.77,,2065.36,2014.99,2035.28,
"00:00:00 18-Jan-2024",65549.91,64491.02,64894.19,,2038.83,2005.89,2018.43,
"00:00:00 08-Jan-2024",66298.38,64366.76,64614.72,,2062.11,2002.03,2009.74,
"00:00:00 29-Dec-2023",66838.11,65107.11,65732.44,,2078.90,2025.06,2044.51,
"00:00:00 19-Dec-2023",67144.82,65003.59,66448.84,,2088.44,2021.84,2066.79,
"00:00:00 09-Dec-2023",65839.50,63439.37,65192.23,,2047.84,1973.18,2027.71,
"00:00:00 29-Nov-2023",68908.78,64137.28,64450.03,,2143.30,1994.89,2004.62,
"00:00:00 19-Nov-2023",65734.29,63199.69,65732.20,,2044.56,1965.73,2044.50,
"00:00:00 09-Nov-2023",64088.98,61987.52,63686.13,,1993.39,1928.03,1980.86,
"00:00:00 30-Oct-2023",64550.34,62618.32,62722.81,,2007.74,1947.65,1950.90,
"00:00:00 20-Oct-2023",64602.99,62847.96,64391.68,,2009.38,1954.79,2002.81,
"00:00:00 10-Oct-2023",63699.47,59578.87,63568.78,,1981.27,1853.11,1977.21,
"00:00:00 30-Sep-2023",59912.68,58219.94,59884.70,,1863.49,1810.84,1862.62,
"00:00:00 20-Sep-2023",62612.61,59363.30,59434.59,,1947.47,1846.41,1848.62,
"00:00:00 10-Sep-2023",62286.12,61123.15,62098.93,,1937.31,1901.14,1931.49,
"00:00:00 31-Aug-2023",62784.86,61582.42,61694.07,,1952.83,1915.43,1918.90,
"00:00:00 21-Aug-2023",62663.81,60600.70,62510.05,,1949.06,1884.89,1944.28,
"00:00:00 11-Aug-2023",61759.90,60608.98,60760.41,,1920.95,1885.15,1889.86,
"00:00:00 01-Aug-2023",63167.13,61444.42,61487.10,,1964.72,1911.14,1912.46,
"00:00:00 22-Jul-2023",63726.80,62459.18,63144.23,,1982.13,1942.70,1964.01,
"00:00:00 12-Jul-2023",63898.97,62156.64,63073.33,,1987.48,1933.29,1961.80,
"00:00:00 02-Jul-2023",62320.36,61176.84,62159.05,,1938.38,1902.81,1933.36,
"00:00:00 22-Jun-2023",62264.82,60862.81,61723.00,,1936.65,1893.05,1919.80,
"00:00:00 12-Jun-2023",63358.91,61721.48,62177.45,,1970.68,1919.75,1933.93,
"00:00:00 02-Jun-2023",63769.72,62316.75,63014.34,,1983.46,1938.27,1959.97,
"00:00:00 23-May-2023",63827.27,62123.36,63565.72,,1985.25,1932.25,1977.11,
"00:00:00 13-May-2023",65013.39,62759.95,63333.03,,2022.14,1952.05,1969.88,
"00:00:00 03-May-2023",66818.17,64289.68,64652.74,,2078.28,1999.63,2010.93,
"00:00:00 23-Apr-2023",64918.39,63476.67,64815.99,,2019.19,1974.35,2016.00,
"00:00:00 13-Apr-2023",65854.05,63315.19,63760.80,,2048.29,1969.32,1983.18,
"00:00:00 03-Apr-2023",65331.84,62695.16,64888.49,,2032.05,1950.04,2018.26,
"00:00:00 24-Mar-2023",64389.02,62506.03,62924.88,,2002.72,1944.15,1957.18,
"00:00:00 14-Mar-2023",64600.41,60634.14,64025.40,,2009.30,1885.93,1991.41,
"00:00:00 04-Mar-2023",61555.02,58178.22,61478.18,,1914.58,1809.54,1912.19,
"00:00:00 22-Feb-2023",59691.72,58041.42,59690.43,,1856.62,1805.29,1856.58,
"00:00:00 12-Feb-2023",60121.57,58483.25,59017.60,,1869.99,1819.03,1835.65,
"00:00:00 02-Feb-2023",63004.13,59572.44,59982.92,,1959.65,1852.91,1865.68,
"00:00:00 23-Jan-2023",62891.76,61119.45,62794.75,,1956.15,1901.03,1953.14,
"00:00:00 13-Jan-2023",62287.33,60840.79,61965.90,,1937.35,1892.36,1927.35,
"00:00:00 03-Jan-2023",61132.88,58683.07,61024.37,,1901.45,1825.25,1898.07,
"00:00:00 24-Dec-2022",58918.17,57784.30,58819.87,,1832.56,1797.29,1829.50,
"00:00:00 14-Dec-2022",58637.98,57047.32,57808.89,,1823.85,1774.37,1798.06,
"00:00:00 04-Dec-2022",58657.51,56774.92,58183.53,,1824.45,1765.90,1809.71,
"00:00:00 24-Nov-2022",58018.03,55935.31,57799.09,,1804.56,1739.78,1797.75,
"00:00:00 14-Nov-2022",57434.82,55579.32,56339.92,,1786.42,1728.71,1752.37,
"00:00:00 04-Nov-2022",56999.74,52389.00,56699.77,,1772.89,1629.48,1763.56,
"00:00:00 25-Oct-2022",53850.17,51980.12,52401.94,,1674.93,1616.76,1629.88,
"00:00:00 15-Oct-2022",53699.46,52001.18,53107.09,,1670.24,1617.42,1651.82,
"00:00:00 05-Oct-2022",55549.50,52736.23,52870.86,,1727.78,1640.28,1644.47,
"00:00:00 25-Sep-2022",55599.33,51921.04,55481.34,,1729.33,1614.92,1725.66,
"00:00:00 15-Sep-2022",54588.43,52737.03,52861.29,,1697.89,1640.30,1644.17,
"00:00:00 05-Sep-2022",55782.91,54383.39,54580.55,,1735.04,1691.51,1697.64,
"00:00:00 26-Aug-2022",56548.10,54301.81,54914.92,,1758.84,1688.98,1708.04,
"00:00:00 16-Aug-2022",57329.36,55557.29,56471.98,,1783.14,1728.02,1756.47,
"00:00:00 06-Aug-2022",58122.68,56936.72,57183.16,,1807.82,1770.93,1778.60,
"00:00:00 27-Jul-2022",57708.74,55031.55,57079.39,,1794.94,1711.67,1775.37,
"00:00:00 17-Jul-2022",55920.12,54052.24,55237.15,,1739.31,1681.21,1718.07,
"00:00:00 07-Jul-2022",56323.85,54582.32,54913.72,,1751.87,1697.70,1708.01,
"00:00:00 27-Jun-2022",59185.18,55698.84,55949.61,,1840.86,1732.43,1740.23,
"00:00:00 17-Jun-2022",59570.59,58423.29,58876.70,,1852.85,1817.17,1831.27,
"00:00:00 07-Jun-2022",60416.08,58037.40,59513.36,,1879.15,1805.16,1851.07,
"00:00:00 28-May-2022",60248.09,58791.66,59143.07,,1873.93,1828.63,1839.56,
"00:00:00 18-May-2022",60112.65,58118.58,59604.59,,1869.71,1807.69,1853.91,
"00:00:00 08-May-2022",60628.59,57470.50,58342.59,,1885.76,1787.53,1814.66,
"00:00:00 28-Apr-2022",61724.45,59495.28,60557.94,,1919.85,1850.51,1883.56,
"00:00:00 18-Apr-2022",64246.68,60492.03,60627.15,,1998.30,1881.51,1885.72,
"00:00:00 08-Apr-2022",63914.56,61987.04,63882.41,,1987.97,1928.01,1986.97,
"00:00:00 29-Mar-2022",62683.99,60785.17,62150.13,,1949.69,1890.63,1933.09,
"00:00:00 19-Mar-2022",63194.70,61447.15,61864.79,,1965.57,1911.22,1924.21,
"00:00:00 09-Mar-2022",66203.77,60940.45,61794.62,,2059.17,1895.46,1922.03,
"00:00:00 27-Feb-2022",66545.86,60745.62,65714.28,,2069.81,1889.40,2043.94,
"00:00:00 17-Feb-2022",63464.13,60053.82,60745.62,,1973.96,1867.88,1889.40,
"00:00:00 07-Feb-2022",60427.81,58152.50,60123.10,,1879.51,1808.74,1870.04,
"00:00:00 28-Jan-2022",58350.63,57241.27,58195.58,,1814.91,1780.40,1810.08,
"00:00:00 18-Jan-2022",59602.66,57612.05,57782.69,,1853.85,1791.94,1797.24,
"00:00:00 08-Jan-2022",58806.37,57567.44,58487.35,,1829.08,1790.55,1819.16,
"00:00:00 29-Dec-2021",58893.90,57322.69,57765.81,,1831.81,1782.93,1796.72,
"00:00:00 19-Dec-2021",58520.87,57392.14,58087.08,,1820.20,1785.10,1806.71,
"00:00:00 09-Dec-2021",58330.30,56395.46,57816.04,,1814.28,1754.09,1798.28,
"00:00:00 29-Nov-2021",58153.31,56653.31,57346.64,,1808.77,1762.11,1783.68,
"00:00:00 19-Nov-2021",59988.79,57191.19,57725.38,,1865.86,1778.84,1795.46,
"00:00:00 09-Nov-2021",60349.20,58491.05,59790.74,,1877.07,1819.28,1859.70,
"00:00:00 30-Oct-2021",58720.28,56578.24,58661.45,,1826.40,1759.78,1824.58,
"00:00:00 20-Oct-2021",58314.38,56809.89,57338.61,,1813.78,1766.99,1783.43,
"00:00:00 10-Oct-2021",57891.12,56275.54,56865.51,,1800.62,1750.36,1768.72,
"00:00:00 30-Sep-2021",57271.09,55374.36,56499.31,,1781.33,1722.34,1757.32,
"00:00:00 20-Sep-2021",57454.19,55359.57,55585.43,,1787.03,1721.88,1728.90,
